,name,z_cmb,m_b,dm_b
634,2006or,0.0204,15.7067,0.156
635,2006qo,0.02894,16.02685,0.1316
636,2006sr,0.02384,15.7013,0.1335
637,2006td,0.01451,14.89705,0.16765
638,2006te,0.03292,16.452,0.1185
639,2007ae,0.06455,17.78945,0.1136
640,2007ap,0.01663,15.01385,0.15025
641,2007ar,0.05359,17.4687,0.1439
642,2007bd,0.03163,16.21965,0.11945
643,2007co,0.02751,15.9978,0.1291
644,2007cq,0.02559,15.5514,0.1259
645,2007F,0.02401,15.78645,0.12635
646,2007O,0.03713,16.56045,0.1177
647,2008af,0.03408,16.39975,0.12455
648,2008bf,0.02454,15.6001,0.1278
649,2008L,0.01697,14.91335,0.1531
650,2007A,0.01629,15.17685,0.15115
651,2007aj,0.03184,16.34225,0.12125
652,2007cb,0.037,16.74885,0.12725
653,2007cc,0.02932,15.8648,0.1457
654,2007fb,0.0174,15.26595,0.1485
655,2007hu,0.03578,16.59205,0.1761
656,2007is,0.02845,16.04785,0.1364
657,2007kh,0.05035,17.2903,0.16335
658,2007kk,0.04269,16.93325,0.117
659,2007ob,0.03212,16.23615,0.1431
660,2007su,0.02752,16.0669,0.14255
661,2007ux,0.03049,16.28725,0.1419
662,2008C,0.01724,14.9294,0.1556
663,2008Y,0.07063,18.05925,0.1229
664,2008ac,0.05344,17.62205,0.1398
665,2008ar,0.02878,16.10835,0.12155
666,2008at,0.03518,16.42245,0.15235
667,2008bw,0.03348,16.4802,0.15235
668,2008by,0.04651,17.18185,0.11625
669,2008bz,0.06119,17.9246,0.11905
670,2008cf,0.04714,17.16275,0.12315
671,2008ds,0.0212,15.4466,0.1437
672,2008fr,0.04028,16.8206,0.11335
673,2008gb,0.03863,16.86145,0.1275
674,2008gl,0.03314,16.39225,0.12215
675,2009D,0.02414,15.68035,0.1291
676,2009ad,0.02837,16.1044,0.12155
677,2009an,0.01043,13.9248,0.20035
678,2009ds,0.02038,15.42955,0.14185
679,2008050,0.0471,16.9842,0.14465
680,2008051,0.03984,16.7074,0.1146
681,2009kk,0.0122,14.4566,0.1737
682,2009kq,0.01271,14.2811,0.1749
683,2009le,0.01763,14.9354,0.1562
684,2009na,0.02171,15.502,0.13615
685,2009nq,0.01572,14.86115,0.1939
686,2010A,0.01972,15.27645,0.15785
687,2010H,0.01678,14.92685,0.15925
688,2010Y,0.01226,14.4674,0.17765
689,2010dt,0.05322,17.57915,0.12805
690,PTF10bjs,0.03055,15.88935,0.45085
691,2004ef,0.03001,16.1733,0.12025
692,2004eo,0.01506,14.6193,0.15445
693,2004ey,0.0153,14.6705,0.1456
694,2004gu,0.04713,17.1679,0.1151
695,2005be,0.03411,16.515,0.1148
696,2005bo,0.0152,14.53545,0.1635
697,2005el,0.01504,14.69915,0.1491
698,2005eq,0.02763,16.23455,0.1179
699,2005iq,0.03359,16.59355,0.1061
700,2005kc,0.01447,14.6408,0.16555
701,2005M,0.02547,15.86575,0.1242
702,2006bh,0.01082,14.0086,0.18445
703,2006ef,0.01741,15.1,0.1498
704,2006ej,0.02031,15.30565,0.1353
705,2006eq,0.04819,17.4344,0.12175
706,2006et,0.02223,15.3918,0.13205
707,2006ev,0.02811,16.3465,0.12485
708,2006lu,0.05458,17.4521,0.1018
709,2006py,0.05721,17.60445,0.1094
710,2007bc,0.02091,15.36595,0.1368
711,2007ca,0.01454,14.99535,0.1656
712,2007nq,0.0431,16.97675,0.10685
713,2008bq,0.03273,16.3843,0.1205
714,2008gp,0.03399,16.35135,0.11105
715,2008hv,0.01382,14.47835,0.15385
716,1993ac,0.05092,17.42035,0.1224
717,1993ae,0.01752,15.0558,0.1465
718,1994M,0.02482,15.64995,0.13485
719,1994Q,0.0288,16.09165,0.13605
720,1994S,0.01568,14.7589,0.1525
721,1995ak,0.02197,15.36745,0.1436
722,1996bl,0.03426,16.4701,0.12025
723,1996bv,0.01698,14.6697,0.1558
724,1996C,0.02752,16.23595,0.1341
725,1997dg,0.03438,16.6071,0.12105
726,1997E,0.01318,14.55605,0.17285
727,1997Y,0.01726,14.9156,0.1511
728,1998dk,0.01209,13.9791,0.1914
729,1998dx,0.05418,17.3218,0.11385
730,1998ec,0.0197,15.45455,0.1578
731,1998ef,0.01662,14.6312,0.14705
732,1998eg,0.02398,15.8239,0.13525
733,1999cc,0.03144,16.31895,0.12075
734,1999dq,0.01291,14.1903,0.1716
735,1999ef,0.03827,16.99715,0.1201
736,1999ej,0.01532,14.9486,0.16405
737,1999X,0.02643,15.91835,0.1425
738,2000B,0.0202,15.02285,0.15165
739,2000cf,0.0373,16.8196,0.11505
740,2000cn,0.02348,15.66265,0.13895
741,2000dk,0.01635,14.8831,0.1518
742,2000fa,0.02275,15.5348,0.13625
743,000006,0.23027,21.0138,0.14645
744,000011,0.38164,22.52675,0.14085
745,000034,0.2534,21.09145,0.11245
746,000091,0.15269,19.93715,0.11585
747,000142,0.43673,22.84545,0.14185
748,000190,0.10242,19.15365,0.1077
749,000199,0.37164,22.12745,0.10645
750,000215,0.46664,22.7822,0.11645
751,000236,0.19602,20.50135,0.109
752,000420,0.31156,21.7417,0.10825
753,010026,0.0322,16.472,0.1289
754,020027,0.10989,19.29245,0.12085
755,020096,0.22562,20.723,0.12425
756,020176,0.26051,21.22765,0.12265
757,030066,0.22556,20.8629,0.1228
758,040137,0.44758,22.59905,0.1524
759,040166,0.44007,22.85455,0.16925
760,040782,0.33742,21.74045,0.14605
761,050005,0.52851,22.8422,0.14315
762,050203,0.57613,23.2359,0.14515
763,050251,0.38775,22.3891,0.15885
764,050293,0.36001,21.92755,0.1335
765,050301,0.34701,21.7912,0.14045
766,050607,0.43927,22.56615,0.132
767,070955,0.34923,21.8575,0.11575
768,080723,0.43015,22.5444,0.12545
769,090201,0.50818,22.7793,0.14135
770,091869,0.28845,21.4826,0.1256
771,100090,0.17281,20.49025,0.1308
772,100163,0.31774,21.8387,0.1521
773,100213,0.27509,21.50715,0.1382
774,100405,0.10293,18.90405,0.12325
775,110033,0.20584,20.5539,0.15765
776,110478,0.2646,21.2449,0.1389
777,110536,0.23466,20.8644,0.19515
778,110567,0.21434,20.73405,0.17345
779,110719,0.42784,23.03515,0.17065
780,110734,0.40214,22.2536,0.149
781,120085,0.32218,21.54775,0.14025
782,120094,0.45173,22.72345,0.12465
783,120336,0.16139,20.07365,0.12015
784,120400,0.35161,22.05965,0.1158
785,120585,0.249,21.02715,0.11585
786,130308,0.08223,18.52945,0.1223
787,130514,0.10588,19.1167,0.10015
788,130862,0.33293,22.0508,0.14375
789,140181,0.10227,19.0531,0.1106
790,150509,0.29282,21.4896,0.1351
791,151034,0.13269,19.53775,0.0994
792,160039,0.27088,21.22425,0.12
793,160099,0.10044,19.0807,0.10935
794,160197,0.35363,22.1458,0.14555
795,160200,0.42353,22.599,0.2655
796,170428,0.30012,21.71085,0.11935
797,180166,0.14761,19.88745,0.11365
798,180561,0.22853,20.96525,0.12895
799,190230,0.1388,19.82205,0.1072
800,190260,0.14343,19.88005,0.10815
801,300105,0.09201,18.9547,0.1139
802,310025,0.1568,20.1239,0.12545
803,310042,0.23851,21.19555,0.2471
804,310073,0.14949,20.15155,0.16675
805,310091,0.50718,22.9937,0.1404
806,310161,0.25249,21.20755,0.11325
807,310238,0.28397,21.3163,0.1146
808,310574,0.2368,21.0224,0.1241
809,320258,0.34092,21.88785,0.1485
810,330022,0.26388,21.064,0.1418
811,330089,0.34872,22.1162,0.13315
812,330128,0.32095,21.71485,0.1245
813,330146,0.13523,19.80745,0.1216
814,340334,0.30666,21.88165,0.1627
815,350047,0.23362,21.21045,0.1599
816,350078,0.30078,21.91835,0.1704
817,350083,0.36783,21.9904,0.12345
818,350233,0.1694,20.2554,0.1144
819,350316,0.07976,18.337,0.10315
820,350548,0.1806,20.3864,0.1142
821,360112,0.18071,20.34675,0.16425
822,360140,0.23086,21.03315,0.15375
823,360156,0.04582,17.29255,0.1243
824,370098,0.22146,20.7853,0.1197
825,370308,0.20073,20.5274,0.21145
826,370333,0.0755,18.378,0.11965
827,370356,0.02627,15.98385,0.1362
828,370369,0.19141,20.055,0.15515
829,370428,0.1777,20.3552,0.11035
830,370563,0.18542,20.5371,0.1169
831,380279,0.34931,22.02925,0.13805
832,380378,0.27131,21.30945,0.10785
833,390264,0.29212,21.17535,0.1226
834,390471,0.37051,21.7944,0.11375
835,420100,0.09641,18.8215,0.14795
836,420159,0.18058,20.2752,0.1117
837,420258,0.27446,21.3734,0.1525
838,420407,0.2451,21.2589,0.1441
839,420417,0.36135,21.9082,0.2036
840,430004,0.23152,20.92185,0.1499
841,440008,0.14648,19.91105,0.11095
842,440042,0.15948,20.18505,0.1775
843,440162,0.41929,22.4583,0.14905
844,440509,0.31894,21.66595,0.15665
845,450175,0.51941,22.97595,0.19605
846,460003,0.15069,19.9375,0.11
847,460037,0.30249,21.6135,0.15825
848,460105,0.21073,20.73865,0.1623
849,470008,0.23943,20.71895,0.1478
850,470041,0.3318,21.7581,0.12005
851,470232,0.20072,20.72485,0.1607
852,470244,0.36082,22.1621,0.14215
853,480064,0.24275,21.3408,0.1213
854,480464,0.22146,20.82175,0.14915
855,490008,0.12068,19.3688,0.1916
856,490521,0.3416,21.88605,0.16925
857,500004,0.25051,21.0268,0.13165
858,500057,0.38054,22.1535,0.1307
859,500100,0.31079,21.81735,0.13845
860,500504,0.1994,20.3968,0.14145
861,510251,0.24001,21.0934,0.1643
862,510457,0.50275,22.89585,0.20855
863,510578,0.37013,22.10035,0.1358
864,510638,0.27001,21.36745,0.13725
865,520019,0.26312,21.391,0.1313
866,520023,0.26801,21.22475,0.16715
867,520062,0.30801,21.95175,0.1182
868,520077,0.25001,21.3768,0.1625
869,520188,0.28051,21.3787,0.11055
870,530112,0.3148,21.9041,0.12485
871,530219,0.3284,22.1329,0.16575
872,540163,0.32944,21.9869,0.11895
873,550041,0.25848,21.13905,0.14085
874,550096,0.22448,20.6681,0.15385
875,550154,0.21079,20.9208,0.1231
876,550218,0.38734,22.2944,0.18525
877,560087,0.30642,21.6875,0.1493
878,560121,0.36491,22.2065,0.1423
879,560152,0.2488,21.1327,0.1596
880,570025,0.2988,21.39335,0.16425
881,570062,0.12365,19.5741,0.1083
882,580235,0.33159,21.7689,0.1401
883,580275,0.38246,22.18595,0.1824
884,580300,0.24074,21.13115,0.11795
885,590005,0.17144,20.2873,0.17315
886,200132,0.2088,20.859,0.16115
887,350180,0.2896,21.715,0.1649
888,000010,0.24599,21.1466,0.1219
889,000014,0.13659,19.76145,0.12305
890,000038,0.15062,19.8557,0.11605
891,000137,0.1187,19.26765,0.1244
892,000174,0.24494,21.05305,0.1237
893,000196,0.3507,21.9623,0.10725
894,000202,0.61992,23.4834,0.1156
895,000220,0.21986,20.83145,0.10825
896,010010,0.09929,19.1829,0.10965
897,020090,0.40996,22.4668,0.20545
898,030006,0.50276,22.81425,0.2082
899,040150,0.38171,22.31495,0.143
900,040201,0.27989,21.2969,0.11365
901,040780,0.23071,20.74845,0.15255
902,050003,0.42693,22.5594,0.1627
903,050201,0.55014,23.1391,0.14355
904,050291,0.32531,21.96765,0.14105
905,050296,0.35092,22.00245,0.1283
906,050303,0.32832,21.97245,0.18155
907,050580,0.45059,22.4503,0.1316
908,070242,0.06441,18.09975,0.1085
909,080064,0.06559,17.91255,0.12675
910,080646,0.31811,21.8116,0.12465
911,090037,0.14539,20.2551,0.1724
912,090275,0.13947,19.7799,0.1129
913,100101,0.42967,22.75515,0.1527
914,100206,0.21641,20.59575,0.11555
915,100358,0.36616,21.88675,0.1841
916,110425,0.38083,22.2063,0.1382
917,110430,0.42086,22.47585,0.16245
918,110460,0.19958,20.61175,0.15295
919,110484,0.5109,22.8206,0.17305
920,110542,0.42696,22.6189,0.15295
921,110716,0.31579,21.9342,0.1522
922,110721,0.57824,23.2802,0.1624
923,120044,0.48176,23.0166,0.15415
924,120086,0.39267,22.18855,0.1588
925,120143,0.17359,20.08825,0.1083
926,120369,0.33059,21.9984,0.1153
927,120444,0.29948,21.70345,0.1614
928,120586,0.22943,20.95825,0.1411
929,130755,0.29291,21.54425,0.1708
930,140152,0.20861,20.59295,0.11275
931,150254,0.27509,21.2869,0.11615
932,150457,0.30337,21.66825,0.11865
933,160070,0.35902,22.19585,0.1342
934,160126,0.3602,21.8702,0.1604
935,160198,0.34902,21.98165,0.1223
936,160214,0.63056,23.3169,0.11795
937,170078,0.32092,22.0192,0.15495
938,180313,0.51002,22.84675,0.1182
939,190209,0.36646,22.0067,0.1243
940,190340,0.13823,19.7944,0.1038
941,300179,0.1792,20.54675,0.14915
942,310039,0.17157,20.22,0.11585
943,310051,0.27047,21.2356,0.1242
944,310090,0.34688,22.23255,0.2533
945,310146,0.47942,22.6131,0.1463
946,310188,0.31894,21.9169,0.137
947,310260,0.51879,22.9578,0.1518
948,320099,0.3799,22.18215,0.1306
949,320469,0.37089,22.13805,0.26375
950,330023,0.18152,20.474,0.12575
951,330083,0.22374,20.75105,0.12225
952,340229,0.14135,19.8422,0.13225
953,350027,0.30567,21.68485,0.12015
954,350050,0.40471,22.12805,0.15365
955,350080,0.28578,21.43725,0.1358
956,350192,0.30156,21.5859,0.13495
957,350235,0.26388,21.2319,0.12955
958,350374,0.50091,22.9717,0.1963
959,350630,0.30525,21.64295,0.1129
960,360139,0.38598,22.28245,0.126
961,360145,0.1986,20.6442,0.1223
962,370066,0.09121,18.75805,0.1103
963,370329,0.47796,22.9261,0.1649
964,370344,0.33159,21.831,0.11675
965,370367,0.47175,22.70965,0.15
966,370394,0.33081,21.7726,0.15595
967,370498,0.26088,21.3572,0.14225
968,370566,0.07141,18.15745,0.1192
969,370595,0.18141,20.426,0.1593
970,380318,0.33829,21.91315,0.151
971,390259,0.12211,19.37365,0.11495
972,390449,0.25012,21.1135,0.14315
973,390627,0.16046,20.16235,0.167
974,420196,0.29843,21.99485,0.16045
975,420352,0.38887,22.11805,0.14095
976,420414,0.29245,21.4687,0.1649
977,430003,0.32841,21.6655,0.17245
978,440005,0.30549,21.6995,0.13305
979,440050,0.28546,21.46645,0.1395
980,440236,0.42886,22.4792,0.1471
981,440285,0.17967,20.481,0.1699
982,440643,0.18959,20.50025,0.1605
983,450082,0.24849,21.19025,0.14705
984,450339,0.40927,22.48095,0.19045
985,460064,0.24146,20.85675,0.13015
986,470015,0.33748,21.8791,0.16625
987,470043,0.0706,18.48435,0.29975
988,470110,0.34546,21.9593,0.1626
989,480184,0.3306,21.98705,0.15615
990,490007,0.05495,17.60185,0.1165
991,490037,0.42359,22.37855,0.1425
992,500038,0.1072,19.19495,0.1111
993,500065,0.2854,21.2265,0.12315
994,500301,0.32553,21.91925,0.1384
995,500511,0.33493,21.74575,0.1129
996,510113,0.2909,21.30595,0.15955
997,510266,0.44058,22.4238,0.13695
998,510550,0.24111,21.09055,0.1118
999,510597,0.46101,22.75035,0.16435
1000,520022,0.11944,19.33475,0.1245
1001,520041,0.54539,23.34415,0.1462
1002,520071,0.41155,22.6089,0.1289
1003,530037,0.26848,21.34225,0.14435
1004,530086,0.04976,17.35275,0.13525
1005,530251,0.41131,22.5817,0.15385
1006,550005,0.07369,18.2355,0.1566
1007,550059,0.31841,22.0816,0.21085
1008,550137,0.4193,22.16135,0.152
1009,550202,0.42028,22.49015,0.2331
1010,560027,0.43885,22.46285,0.19185
1011,560054,0.4804,22.68865,0.17225
1012,560150,0.1998,20.66375,0.13595
1013,570022,0.30143,21.81235,0.1445
1014,570056,0.2902,21.4412,0.13835
1015,580104,0.3092,21.58775,0.1462
1016,580270,0.2956,21.7291,0.123
1017,580276,0.33848,21.88335,0.13905
1018,590031,0.3786,22.21555,0.1463
1019,590194,0.0896,18.72405,0.11685
1020,520016,0.4507,22.6586,0.15475
1021,380199,0.4604,22.8011,0.14725
1022,vespesian,1.206,25.73935,0.3352
1023,washington,1.33,25.6034,0.1484
1024,carter,1.54,25.9072,0.21065
1025,Primo,1.55,26.00705,0.18565
1026,geta,1.7,26.0592,0.2832
1027,stone,1.8,26.2011,0.18795
1028,colfax,2.26,26.877,0.2548
1029,wilson,1.914,26.1609,0.2559
1030,Aphrodite,1.3,25.52015,0.17875
1031,Borg,1.34,25.4652,0.1632
1032,Eagle,1.02,24.88235,0.1657
1033,Frodo,0.735,23.70605,0.134
1034,Gabi,1.12,25.0639,0.1649
1035,Koekemoer,1.23,25.28615,0.19155
1036,Lancaster,1.23,25.4985,0.17085
1037,Manipogo,0.854,24.3128,0.21455
1038,Mcguire,1.37,25.5159,0.1622
1039,Ombo,0.9752,24.7061,0.13985
1040,Patuxent,0.97,25.11545,0.26175
1041,Rakke,0.74,23.8446,0.12605
1042,Sasquatch,1.39,25.36305,0.20125
1043,Thoth,1.305,25.2642,0.235
1044,Vilas,0.935,24.2666,0.1658
1045,SCP05D0,1.014,24.85445,0.2291
1046,SCP05D6,1.315,25.54235,0.1987
1047,SCP06C0,1.092,24.63835,0.26405
