,name,z_cmb,m_b,dm_b
152,04D3df,0.47058,22.65205,0.12925
153,04D3ez,0.26349,21.15515,0.1079
154,04D3fq,0.7427,23.92255,0.19885
155,04D3gx,0.91075,24.6116,0.16365
156,04D3kr,0.33753,21.9137,0.10655
157,04D3lp,0.98377,24.92305,0.1439
158,04D3mk,0.81369,24.26675,0.14105
159,04D3nc,0.81773,24.3431,0.12085
160,04D3nr,0.96075,24.5736,0.1577
161,04D3oe,0.75669,24.03965,0.1583
162,04D4bk,0.87796,24.42165,0.14325
163,04D4dm,0.80902,24.20795,0.1668
164,04D4fx,0.62723,23.4134,0.138
165,04D4hf,0.93389,24.7653,0.2009
166,04D4ib,0.69715,23.78265,0.16195
167,04D4id,0.76706,24.3849,0.17855
168,04D4ii,0.86397,24.39625,0.15285
169,04D4in,0.51434,22.98745,0.11725
170,04D4ju,0.47039,23.1005,0.141
171,04D4jy,0.9279,24.7789,0.1829
172,05D1cb,0.63071,23.4092,0.1432
173,05D1ck,0.6157,23.56625,0.1433
174,05D1dn,0.56475,23.2891,0.13595
175,05D1ee,0.55775,23.2494,0.1349
176,05D1eo,0.73561,24.06925,0.19205
177,05D1hk,0.26199,21.15835,0.1082
178,05D1if,0.76159,23.97575,0.15445
179,05D1iz,0.85852,24.54425,0.17845
180,05D1kl,0.55875,23.6061,0.15165
181,05D2ac,0.48072,22.74835,0.1138
182,05D2ay,0.92224,24.57175,0.18725
183,05D2bv,0.47572,22.6952,0.109
184,05D2by,0.8932,24.5781,0.1577
185,05D2ci,0.6319,23.1617,0.17705
186,05D2ct,0.73602,24.02845,0.2108
187,05D2dw,0.41865,22.38625,0.1152
188,05D2eb,0.53578,22.98355,0.1266
189,05D2fq,0.73501,24.09175,0.17825
190,05D2he,0.60987,23.5447,0.14865
191,05D2le,0.70198,23.8387,0.16475
192,05D2my,0.9833,24.78095,0.143
193,05D2nt,0.75905,24.0557,0.15165
194,05D3ax,0.64364,23.6045,0.2013
195,05D3ci,0.51559,23.02365,0.1762
196,05D3cx,0.80569,24.0139,0.1301
197,05D3dh,0.8007,23.82255,0.1606
198,05D3gv,0.71565,23.84395,0.19425
199,05D3hh,0.76668,24.2307,0.1806
200,05D3ht,0.90173,24.5128,0.1511
201,05D3jh,0.71868,23.68915,0.15095
202,05D3jq,0.5796,23.1779,0.1197
203,05D3km,0.96074,24.80925,0.14255
204,05D3kt,0.64864,23.53665,0.159
205,05D3la,0.93675,24.4717,0.1405
206,05D3lc,0.46156,22.76265,0.11115
207,05D3mh,0.67065,23.78495,0.1775
208,05D3mq,0.24649,21.16055,0.10805
209,05D4ag,0.63822,23.49005,0.184
210,05D4be,0.53532,23.06945,0.11085
211,05D4bi,0.77307,24.17605,0.17625
212,05D4bm,0.3705,22.15255,0.1043
213,05D4cq,0.69916,23.88895,0.1728
214,05D4cw,0.3735,22.11185,0.1039
215,05D4dw,0.85298,24.3052,0.1508
216,05D4ef,0.60326,23.58805,0.1429
217,05D4ek,0.53433,22.9223,0.1289
218,05D4ff,0.40048,22.2601,0.1151
219,05D4fo,0.3715,22.20135,0.10745
220,05D4hn,0.83999,24.0253,0.15175
221,06D2ca,0.53278,23.059,0.11385
222,06D2cd,0.93225,24.704,0.21015
223,06D2ck,0.55381,23.2838,0.1242
224,06D2ga,0.84214,24.3261,0.1858
225,06D3bz,0.72767,23.8687,0.19785
226,06D3df,0.44255,22.67285,0.1137
227,06D3dt,0.28251,21.5746,0.1073
228,06D3el,0.51961,23.03865,0.109
229,06D3en,1.0608,24.6873,0.16415
230,06D3fp,0.26849,21.24725,0.1051
231,06D3gn,0.2505,21.1763,0.1114
232,06D4ba,0.69816,23.7924,0.2171
233,06D4bw,0.73012,23.7684,0.19115
234,06D4cl,0.99781,24.6122,0.0953
235,06D4cq,0.40946,22.451,0.10895
236,744,0.12679,19.5429,0.11965
237,1112,0.25577,21.3344,0.1818
238,1241,0.08859,18.64345,0.10605
239,1371,0.11782,19.19345,0.0991
240,1580,0.18356,20.2951,0.1284
241,1794,0.14055,19.871,0.11635
242,2031,0.15171,19.7933,0.10325
243,2102,0.094,18.889,0.10285
244,2165,0.28631,21.6827,0.1504
245,2422,0.26318,21.3576,0.14295
246,2635,0.14167,19.79675,0.1047
247,2689,0.16053,19.9329,0.1156
248,2916,0.1229,19.3948,0.11665
249,2992,0.1262,19.36855,0.113
250,3080,0.17331,20.15345,0.09925
251,3087,0.16448,20.03175,0.1083
252,3317,0.16018,19.92285,0.11045
253,3377,0.24488,20.86815,0.1298
254,3451,0.24805,20.98175,0.13435
255,4046,0.27511,21.37075,0.15505
256,4241,0.33015,21.9321,0.1589
257,4679,0.3307,21.82885,0.1481
258,5103,0.1604,19.98615,0.10955
259,5533,0.21861,20.87005,0.13435
260,5549,0.12005,19.36835,0.1021
261,5635,0.17818,20.72835,0.1286
262,5957,0.279,21.50115,0.13265
263,5994,0.18562,20.48365,0.1298
264,6057,0.06641,17.9881,0.1134
265,6108,0.25769,21.2775,0.14285
266,6196,0.27946,21.2773,0.1398
267,6315,0.2655,21.0609,0.1301
268,6422,0.18478,20.37525,0.1056
269,6558,0.05715,17.65695,0.1072
270,6924,0.32601,21.6733,0.1464
271,7147,0.10902,19.1721,0.10285
272,7243,0.20299,20.7001,0.1382
273,7779,0.37949,22.13745,0.1395
274,7847,0.21198,20.68915,0.12295
275,8495,0.21327,20.78295,0.1364
276,8921,0.14393,19.83575,0.113
277,9032,0.25218,21.1678,0.16095
278,9457,0.25641,21.2758,0.1749
279,9467,0.2186,20.976,0.1685
280,12779,0.07883,18.5397,0.12205
281,12781,0.08328,18.7438,0.11605
282,12856,0.17008,20.2489,0.107
283,12881,0.23643,20.87655,0.14325
284,12883,0.30538,21.3803,0.19765
285,12898,0.08286,18.5179,0.1055
286,12927,0.18905,20.2039,0.1187
287,12950,0.08162,18.511,0.10425
288,12972,0.25626,21.2564,0.16145
289,13005,0.12631,19.58525,0.13485
290,13038,0.1028,19.16175,0.1443
291,13044,0.1244,19.4784,0.1006
292,13136,0.37003,22.46065,0.1636
293,13152,0.20192,20.38595,0.11475
294,13254,0.18004,20.68245,0.14335
295,13411,0.16163,20.1359,0.1299
296,13578,0.22644,20.8771,0.141
297,13610,0.29649,21.4449,0.1446
298,13689,0.24999,21.20115,0.13305
299,13736,0.14864,19.91815,0.1063
300,13796,0.14711,19.776,0.10335
301,14019,0.2149,21.20185,0.1483
302,14024,0.14462,19.8106,0.13965
303,14108,0.13226,19.9293,0.1333
304,14331,0.2195,21.00055,0.1346
305,14397,0.38447,22.40575,0.14945
306,14421,0.1742,20.3461,0.1115
307,14451,0.17772,20.20345,0.1224
308,14735,0.29911,21.51975,0.1301
309,14871,0.1187,19.44875,0.1339
310,14979,0.17685,20.2397,0.106
311,15057,0.24526,21.3752,0.1882
312,15129,0.1959,20.54825,0.11935
313,15161,0.24832,21.09655,0.1326
314,15213,0.30617,21.77705,0.16135
315,15219,0.24616,21.1569,0.13055
316,15234,0.13527,19.9671,0.1135
317,15259,0.21028,20.6402,0.1335
318,15287,0.23603,21.1547,0.12315
319,15301,0.17831,20.37535,0.1134
320,15354,0.22043,20.81795,0.15445
321,15383,0.31468,21.8201,0.1572
322,15421,0.1846,20.55175,0.1118
323,15440,0.2611,21.2036,0.13865
324,15443,0.18122,20.21145,0.10535
325,15456,0.38003,22.03255,0.1506
326,15461,0.1846,20.38765,0.1082
327,15467,0.20824,20.65465,0.12075
328,15583,0.17746,20.33625,0.12905
329,15776,0.31555,21.7168,0.15355
330,15868,0.24954,21.1676,0.1247
331,15901,0.20324,20.6509,0.11955
332,16021,0.12347,19.4198,0.10285
