,z,dl_ries,erro_ries
0,0.078,344.56643636897206,5.461849353447209
1,0.088,394.17059953324497,5.5657749206167715
2,0.103,472.1914661936462,5.62761278863788
3,0.103,472.1914661936462,5.62761278863788
4,0.152,747.060181722045,5.106636074440265
5,0.208,1077.1184035390615,4.465275258849966
6,0.214,1112.7630862277001,4.448502981201743
7,0.215,1118.7060729041696,4.44671786054773
8,0.235,1237.6922685056925,4.46371497255863
9,0.235,1237.6922685056925,4.46371497255863
10,0.236,1243.6484943144023,4.466836857418699
11,0.252,1339.0722428821027,4.538373696266739
12,0.253,1345.0456119403243,4.543984465242843
13,0.313,1707.660449448973,5.034247846909727
14,0.314,1713.8088917694986,5.0449183733932035
15,0.318,1738.449319953099,5.088584022352201
16,0.324,1775.5558749698102,5.157124478428308
17,0.345,1906.955759163946,5.427091421788193
18,0.352,1951.334198039025,5.527366087501061
19,0.355,1970.4482722356915,5.57180828312882
20,0.363,2021.705856654793,5.694281297636476
21,0.363,2021.705856654793,5.694281297636476
22,0.3779999999999999,2118.9785135686398,5.9368545507658546
23,0.391,2204.5528844278306,6.156146686432568
24,0.3989999999999999,2257.811540381983,6.29293255467013
25,0.4039999999999999,2291.3300289697945,6.378471529059066
26,0.423,2420.3106785714626,6.6986005180851285
27,0.442,2551.758371770382,7.001916027635863
28,0.447,2586.7391731850803,7.077865623201664
29,0.451,2614.8353608883917,7.137342293177831
30,0.46,2678.4016748126596,7.266883736447924
31,0.461,2685.4936140533537,7.280908489097458
32,0.487,2871.744833085686,7.620635427031247
33,0.539,3252.5448597595096,8.189271658304538
34,0.5760000000000001,3527.4242125228047,8.533022144989003
35,0.596,3676.638115812093,8.693380138978348
36,0.7020000000000001,4472.502915710211,9.125072445892133
37,0.723,4632.552147155628,9.190517463220331
38,1.028,7297.447553820908,18.803363524233728
39,1.063,7626.446562796831,22.09528468941374
