,z,dl_cc,erro_cc
0,0.078,364.6561923984319,0.001462643626553
1,0.088,414.2182698378687,0.0033599356548279
2,0.103,489.7028101376951,0.0021942698397765
3,0.103,489.7028101376951,0.0021942698397765
4,0.152,745.501611104149,0.0330423207240073
5,0.208,1054.056308489477,0.0495039809021591
6,0.214,1088.0868622689209,0.0012073826900405
7,0.215,1093.7792071523068,0.0013334290777038
8,0.235,1208.6008937099034,0.0143924327783224
9,0.235,1208.6008937099034,0.0143924327783224
10,0.236,1214.395841067916,0.0124848963549766
11,0.252,1307.739044936299,0.0048969305191803
12,0.253,1313.6103231659492,0.0002289133617523
13,0.313,1674.4264235144522,0.0353052711468535
14,0.314,1680.571821106882,0.0677448380153948
15,0.318,1705.2110512415588,0.0299284782724953
16,0.324,1742.283112615588,0.0152044660362662
17,0.345,1873.226649095849,0.0025612099911995
18,0.352,1917.275696284861,0.0148309752034947
19,0.355,1936.217556097632,0.0664177838241014
20,0.363,1986.893143320484,0.0169892005599194
21,0.363,1986.893143320484,0.0169892005599194
22,0.3779999999999999,2082.5869807974773,0.0723571077381632
23,0.391,2166.215582244469,0.0031149052640557
24,0.3989999999999999,2217.992975930485,0.2054882563909845
25,0.4039999999999999,2250.4728588117337,0.1847767587081432
26,0.423,2374.729028980568,0.1075488235261201
27,0.442,2500.2538637377106,0.009723365322543
28,0.447,2533.5032338856017,0.1832609550784047
29,0.451,2560.157717507138,0.4969323180894363
30,0.46,2620.322236986449,0.1558715491064193
31,0.461,2627.020340859708,0.1393359552175432
32,0.487,2802.4291381598086,0.1343710789634686
33,0.539,3159.5778127422163,0.5253702798414925
34,0.5760000000000001,3418.5820143331907,0.2089243109391511
35,0.596,3560.144604750651,0.5309506295474361
36,0.7020000000000001,4327.5854912193045,0.5334054958590837
37,0.723,4482.8055233398445,0.5998045565559451
38,1.028,6837.344793679039,0.6863216726510141
39,1.063,7118.289750940568,0.5940051692103875
