,z,dl_planck,erro_planck
785,0.249,1234.3263492347457,0.31280618488324113
786,0.08223,390.7419144419036,0.32765785873305275
787,0.10588,512.0825773147222,0.27665559892323466
788,0.33293,1977.6981168256125,0.37704830897777497
789,0.10227,497.30176429866316,0.3007176131450224
790,0.29282,1527.2846960865409,0.3571309479233765
791,0.13269,621.655814403295,0.2749286601034891
792,0.27088,1351.6056545118963,0.3223619130191664
793,0.10044,503.6629443713588,0.29783938177877983
794,0.35363,2066.141210162616,0.3811929621451643
795,0.42353,2545.657663929478,0.6573880440498002
796,0.30012,1691.1027664642118,0.3208652327087203
797,0.14761,730.2809973383886,0.3077404976786542
798,0.22853,1199.6374085599398,0.34297004960146316
799,0.1388,708.6144431794546,0.2928888238288427
800,0.14343,727.7965624790463,0.29507627966718697
801,0.09201,475.2695604905918,0.3083161439519027
802,0.1568,814.2916848278766,0.334911001775984
803,0.23851,1333.8592350644137,0.6150204783387097
804,0.14949,824.7265959401058,0.43000776611663805
805,0.50718,3053.0927644487915,0.36933464891624496
806,0.25249,1341.2508184912242,0.3068194636414566
807,0.28397,1410.132752941221,0.3099279535169986
808,0.2368,1231.6292658065881,0.331802511900442
809,0.34092,1834.7208653506323,0.3879855881694967
810,0.26388,1255.4516736871378,0.3725582680464366
811,0.34872,2038.168099861744,0.3526409069920381
812,0.32095,1694.220763780822,0.3327235459376396
813,0.13523,703.866020635797,0.32604604916795693
814,0.30666,1829.4898316087204,0.4206822964900122
815,0.23362,1343.0432547250905,0.4142350582296288
816,0.30078,1860.6727614422978,0.4384122017060663
817,0.36783,1923.4460081272757,0.3303058315899959
818,0.1694,865.1272664305601,0.30946743649839975
819,0.07976,357.60205018090164,0.2835633542022168
820,0.1806,918.9248582908956,0.3090069194798009
821,0.18071,902.2980109535736,0.42425130338415296
822,0.23086,1237.7416351957363,0.40007415990771544
823,0.04582,221.05991566400348,0.3322630289190408
824,0.22146,1104.2311645375405,0.3216711374912682
825,0.20073,980.5731562195339,0.5329333197734719
826,0.0755,364.4181507888609,0.3215560082366185
827,0.02627,120.99571770893303,0.3596637915256699
828,0.19141,788.860117618554,0.40329777903790714
829,0.1777,905.8160257954034,0.30014196687177386
830,0.18542,984.9631891675294,0.3152238992308849
831,0.34931,1958.1682293487727,0.36392357394770897
832,0.27131,1405.6914393795635,0.29438550413928877
833,0.29212,1321.5086190448171,0.32834863426095096
834,0.37051,1757.4379488139298,0.30797075618795366
835,0.09641,446.99225684186837,0.38671916636834996
836,0.18058,873.0517757253299,0.3032504567473158
837,0.27446,1447.7047521763116,0.3971959285414729
838,0.2451,1373.346104595353,0.3778542137603229
839,0.36135,1851.9958109010047,0.5148580267934686
840,0.23152,1175.8989430389465,0.3912092072996884
841,0.14648,738.261124737941,0.30152351792757026
842,0.15948,837.5485671733072,0.454760555866324
843,0.41929,2385.9426473202643,0.3892520099706434
844,0.31894,1656.4945066833102,0.4067516566773982
845,0.51941,3028.2379657070287,0.4974735093413636
846,0.15069,747.3086341912762,0.299336062089226
847,0.30249,1616.962693512299,0.41043579282618864
848,0.21073,1080.7618349485372,0.41976126245281453
849,0.23943,1071.0013049657578,0.38637377860440086
850,0.3318,1728.303462432911,0.32247704227381613
851,0.20072,1073.9152263432388,0.4160771263040241
852,0.36082,2081.708904948124,0.37336417282898454
853,0.24275,1426.1329036088841,0.32535527364005873
854,0.22146,1122.9230588039802,0.38948226847994283
855,0.12068,575.1220253263921,0.48722700567754007
856,0.3416,1833.2006391895316,0.4357642288491232
857,0.25051,1234.1274153657387,0.34918702935254703
858,0.38054,2073.480712904681,0.34699957351420274
859,0.31079,1776.1105746788153,0.36484460798490653
860,0.1994,923.336491921305,0.37175236326388866
861,0.24001,1272.565074886053,0.42436643263880264
862,0.50275,2918.5692336134007,0.5262558230037891
863,0.37013,2023.3452771242503,0.35874275748847234
864,0.27001,1443.7433604886028,0.3620815058733137
865,0.26312,1459.4862237826187,0.34838112456999915
866,0.26801,1351.916909048189,0.43092880015383567
867,0.30801,1889.5135036273605,0.3182172598517771
868,0.25001,1449.973282797044,0.42022177947141337
869,0.28051,1451.2425390136134,0.3006024838903727
870,0.3148,1848.5023200873043,0.3335294507201876
871,0.3284,2053.903334588662,0.427705181023644
872,0.32944,1920.3482766007212,0.31994419867152263
873,0.25848,1299.6008897335562,0.37037081220809226
874,0.22448,1046.212729789358,0.4003044184170148
875,0.21079,1175.330482938245,0.329499926807448
876,0.38734,2212.4832934132733,0.47260559033702787
877,0.30642,1673.015636398645,0.38982765624389193
878,0.36491,2124.7116540061375,0.37370956059293364
879,0.2488,1295.8060401678633,0.4135442827017306
880,0.2988,1461.0665566328234,0.42425130338415296
881,0.12365,632.1497929087541,0.29542166743113607
882,0.33159,1736.9207361396527,0.36864387338834675
883,0.38246,2104.6990256120075,0.4660432228219949
884,0.24074,1294.8814220657923,0.3176416135785286
885,0.17144,877.9302230108885,0.44474431071179993
886,0.2088,1142.3521410363026,0.41711328959587135
887,0.2896,1694.3378004473252,0.42574798369459904
888,0.24599,1304.1273410604622,0.32673682469585513
889,0.13659,689.1122972583429,0.3293847975527983
890,0.15062,719.6809383381479,0.31326670190184
891,0.1187,548.9464741764166,0.3324932874283402
892,0.24494,1249.1367913388947,0.3308814778632444
893,0.3507,1898.7159558454464,0.29300395308349236
894,0.61992,3825.4277151672813,0.3122305386099926
895,0.21986,1127.9503932715234,0.2953065381764864
896,0.09929,527.93444694416,0.29853015730667803
897,0.40996,2395.3004716334353,0.5191178092155077
898,0.50276,2810.9298019590074,0.5254499182212412
899,0.38171,2233.5207935215944,0.3753213701580294
900,0.27989,1397.5906933871015,0.3077404976786542
901,0.23071,1085.6504082167587,0.3973110577961226
902,0.42693,2499.6545861801333,0.4206822964900122
903,0.55014,3264.5250089003007,0.3765877919591762
904,0.32531,1903.3997152295287,0.3708313292266911
905,0.35092,1934.1493226725638,0.34147336929101696
906,0.32832,1907.6117990994494,0.4640860254929499
907,0.45059,2377.168681929842,0.34907190009789735
908,0.06441,320.59002103562545,0.2958821844497349
909,0.06559,294.11014143303834,0.3379043623968762
910,0.31811,1771.4137034243777,0.33306893370158874
911,0.14539,865.0077529376146,0.4430173718920544
912,0.13947,694.9923112731175,0.3060135588589087
913,0.42967,2735.4576785026507,0.39765644556007174
914,0.21641,1011.9289017696364,0.31211540935534293
