,z,dl_ries,erro_ries
742,0.02275,89.73461420605233,0.40583062264020064
743,0.23027,1118.8194301319415,0.42931699058873984
744,0.38164,2245.6910078334413,0.4164225140679732
745,0.2534,1159.5513877612925,0.3510290974269423
746,0.15269,681.4437301222843,0.358857886743122
747,0.43673,2600.6984569800056,0.4187250991609673
748,0.10242,475.0398028368282,0.34009181823522056
749,0.37164,1868.48665326538,0.337213586868978
750,0.46664,2526.0387008803277,0.3602394377989185
751,0.19602,883.6290800987704,0.34308517885611284
752,0.31156,1564.3718771485583,0.3413582400363673
753,0.0322,138.16562311673272,0.38890662220669436
754,0.10989,506.3956891979558,0.37037081220809226
755,0.22562,978.5882571180135,0.37819960152427207
756,0.26051,1234.6105961037845,0.3745154653754815
757,0.22556,1043.710373577852,0.3748608531394307
758,0.44758,2321.7208417756574,0.4430173718920545
759,0.44007,2611.6200853438945,0.48181593070900414
760,0.33742,1563.471611449662,0.4283959565515423
761,0.52851,2596.8089542031953,0.4217184597818595
762,0.57613,3113.006302907862,0.4263236299678476
763,0.38775,2107.7543777858778,0.45786904574186604
764,0.36001,1704.158558564708,0.399498513634467
765,0.34701,1600.4422213369407,0.4155014800307756
766,0.43927,2286.8095646720726,0.3960446359949759
767,0.34923,1650.061001320232,0.35862762823382266
768,0.43015,2264.018649688043,0.38096270363586493
769,0.50818,2522.66742949373,0.41757380661447024
770,0.28845,1388.4172474339553,0.381308091399814
771,0.17281,879.1237238639004,0.39328153388338305
772,0.31774,1635.8368982698323,0.4423265963641563
773,0.27509,1404.2033345002683,0.41032066357153896
774,0.10293,423.45766653005677,0.375897016431278
775,0.20584,905.2739012847338,0.45510594363027324
776,0.2646,1244.457301075164,0.41193247313663484
777,0.23466,1044.4315922335536,0.5414528846175499
778,0.21434,983.5807037488794,0.4914867880995791
779,0.42784,2838.1150717140795,0.4850395498391958
780,0.40214,1980.2498998606202,0.43518858257587467
781,0.32218,1430.7046873028876,0.4150409630121768
782,0.45173,2458.612017004169,0.37912063556146963
783,0.16139,725.6546791256459,0.3687590026429965
784,0.35161,1811.0481626183223,0.35874275748847234
785,0.249,1125.719009804694,0.358857886743122
786,0.08223,356.3608613616952,0.37370956059293364
787,0.10588,467.02486115633684,0.32270730078311555
788,0.33293,1803.682119518727,0.4231000108376559
789,0.10227,453.5445994711995,0.3467693150049033
790,0.29282,1392.9001976133202,0.40318264978325746
791,0.13269,566.9568410844319,0.32098036196337
792,0.27088,1232.6790074495868,0.36841361487904734
793,0.10044,459.3460646485913,0.3438910836386608
794,0.35363,1884.3431793082405,0.42724466400504524
795,0.42353,2321.667382793132,0.7034397459096811
796,0.30012,1542.304053480125,0.3669169345686012
797,0.14761,666.024185348256,0.3537921995385352
798,0.22853,1094.082319903498,0.3890217514613441
799,0.1388,646.2640531038163,0.33894052568872357
800,0.14343,663.7583538268601,0.3411279815270679
801,0.09201,433.45099078333976,0.3543678458117837
802,0.1568,742.6428429604081,0.38096270363586493
803,0.23851,1216.4940805537265,0.6610721801985905
804,0.14949,752.1595950024796,0.47605946797651905
805,0.50718,2784.4536947364027,0.4153863507761259
806,0.25249,1223.235284758981,0.3528711655013375
807,0.28397,1286.0563556131851,0.3559796553768795
808,0.2368,1123.2592404835714,0.3778542137603229
809,0.34092,1673.2853163922346,0.43403729002937763
810,0.26388,1144.985534690187,0.4186099699063176
811,0.34872,1858.8313995033448,0.39869260885191904
812,0.32095,1545.147700829961,0.3787752477975206
813,0.13523,641.9334402741586,0.3720977510278378
814,0.30666,1668.5145569185693,0.46673399834989315
815,0.23362,1224.8700060331214,0.46028676008950975
816,0.30078,1696.9537269296716,0.48446390356594726
817,0.36783,1754.203608327927,0.3763575334498768
818,0.1694,789.005444407018,0.3555191383582807
819,0.07976,326.1369459408789,0.3296150560620977
820,0.1806,838.0694313148891,0.3550586213396819
821,0.18071,822.9055663189381,0.4703030052440339
822,0.23086,1128.8337876206185,0.4461258617675964
823,0.04582,201.6090392326742,0.37831473077892175
824,0.22146,1007.0707912128349,0.36772283935114913
825,0.20073,894.2933472536525,0.5789850216333529
826,0.0755,332.35330357747813,0.36760771009649945
827,0.02627,110.34940606619494,0.40571549338555085
828,0.19141,719.4489780036984,0.4493494808977881
829,0.1777,826.1140339876994,0.3461936687316548
